일시,전력사용량
2021-10-20,31438992
2021-10-20 오전 1:00:00,31440164
2021-10-20 오전 2:00:00,31441352
2021-10-20 오전 3:00:00,31442548
2021-10-20 오전 4:00:00,31443736
2021-10-20 오전 5:00:00,31444944
2021-10-20 오전 6:00:00,31446156
2021-10-20 오전 7:00:00,31447398
2021-10-20 오전 8:00:00,31448934
2021-10-20 오전 9:00:00,31450898
2021-10-20 오전 10:00:00,31453036
2021-10-20 오전 11:00:00,31455116
2021-10-20 오후 12:00:00,31457160
2021-10-20 오후 1:00:00,31459042
2021-10-20 오후 2:00:00,31460846
2021-10-20 오후 3:00:00,31462628
2021-10-20 오후 4:00:00,31464414
2021-10-20 오후 5:00:00,31466152
2021-10-20 오후 6:00:00,31467660
2021-10-20 오후 7:00:00,31469196
2021-10-20 오후 8:00:00,31470758
2021-10-20 오후 9:00:00,31472104
2021-10-20 오후 10:00:00,31473346
2021-10-20 오후 11:00:00,31474506
2021-10-21,31475644
2021-10-21 오전 1:00:00,31476800
2021-10-21 오전 2:00:00,31477930
2021-10-21 오전 3:00:00,31479062
2021-10-21 오전 4:00:00,31480222
2021-10-21 오전 5:00:00,31481366
2021-10-21 오전 6:00:00,31482536
2021-10-21 오전 7:00:00,31483754
2021-10-21 오전 8:00:00,31485240
2021-10-21 오전 9:00:00,31487194
2021-10-21 오전 10:00:00,31489266
2021-10-21 오전 11:00:00,31491298
2021-10-21 오후 12:00:00,31493320
2021-10-21 오후 1:00:00,31495196
2021-10-21 오후 2:00:00,31496978
2021-10-21 오후 3:00:00,31498744
2021-10-21 오후 4:00:00,31500420
2021-10-21 오후 5:00:00,31502004
2021-10-21 오후 6:00:00,31503482
2021-10-21 오후 7:00:00,31505046
2021-10-21 오후 8:00:00,31506586
2021-10-21 오후 9:00:00,31507912
2021-10-21 오후 10:00:00,31509164
2021-10-21 오후 11:00:00,31510380
2021-10-22,31511582
2021-10-22 오전 1:00:00,31512752
2021-10-22 오전 2:00:00,31513942
2021-10-22 오전 3:00:00,31515116
2021-10-22 오전 4:00:00,31516272
2021-10-22 오전 5:00:00,31517448
2021-10-22 오전 6:00:00,31518660
2021-10-22 오전 7:00:00,31519896
2021-10-22 오전 8:00:00,31521396
2021-10-22 오전 9:00:00,31523388
2021-10-22 오전 10:00:00,31525494
2021-10-22 오전 11:00:00,31527584
2021-10-22 오후 12:00:00,31529612
2021-10-22 오후 1:00:00,31531424
2021-10-22 오후 2:00:00,31533176
2021-10-22 오후 3:00:00,31534808
2021-10-22 오후 4:00:00,31536436
2021-10-22 오후 5:00:00,31538002
2021-10-22 오후 6:00:00,31539364
2021-10-22 오후 7:00:00,31540582
2021-10-22 오후 8:00:00,31541746
2021-10-22 오후 9:00:00,31542726
2021-10-22 오후 10:00:00,31543718
2021-10-22 오후 11:00:00,31544706
2021-10-23,31545672
2021-10-23 오전 1:00:00,31546660
2021-10-23 오전 2:00:00,31547628
2021-10-23 오전 3:00:00,31548586
2021-10-23 오전 4:00:00,31549552
2021-10-23 오전 5:00:00,31550526
2021-10-23 오전 6:00:00,31551540
2021-10-23 오전 7:00:00,31552556
2021-10-23 오전 8:00:00,31553602
2021-10-23 오전 9:00:00,31554748
2021-10-23 오전 10:00:00,31555900
2021-10-23 오전 11:00:00,31557040
2021-10-23 오후 12:00:00,31558208
2021-10-23 오후 1:00:00,31559280
2021-10-23 오후 2:00:00,31560284
2021-10-23 오후 3:00:00,31561242
2021-10-23 오후 4:00:00,31562164
2021-10-23 오후 5:00:00,31563030
2021-10-23 오후 6:00:00,31563932
2021-10-23 오후 7:00:00,31564762
2021-10-23 오후 8:00:00,31565544
2021-10-23 오후 9:00:00,31566344
2021-10-23 오후 10:00:00,31567136
2021-10-23 오후 11:00:00,31567920
2021-10-24,31568694
2021-10-24 오전 1:00:00,31569454
2021-10-24 오전 2:00:00,31570202
2021-10-24 오전 3:00:00,31570934
2021-10-24 오전 4:00:00,31571658
2021-10-24 오전 5:00:00,31572410
2021-10-24 오전 6:00:00,31573162
2021-10-24 오전 7:00:00,31573924
2021-10-24 오전 8:00:00,31574712
2021-10-24 오전 9:00:00,31575650
2021-10-24 오전 10:00:00,31576598
2021-10-24 오전 11:00:00,31577548
2021-10-24 오후 12:00:00,31578522
2021-10-24 오후 1:00:00,31579472
2021-10-24 오후 2:00:00,31580366
2021-10-24 오후 3:00:00,31581254
2021-10-24 오후 4:00:00,31582210
2021-10-24 오후 5:00:00,31583368
